 AADE Ed J; AADE editors' journal
 An Fac Odontol Univ Fed Pernambuco; Anais da Faculdade de Odontologia da Universidade Federal de Pernambuco
 Anasth Intensivther Notfallmed; Anasthesie Intensivtherapie Notfallmedizin
 An Inst Hig Med Trop Lisb; Anais do Instituto de Higiene e Medicina Tropical
 An Inst Invest Odontol Maracaibo; Anales - Instituto de Investigaciones Odontologicas Universidad del Zulia
 An Inst Med Trop Lisb; Anais do Instituto de Medicina Tropical
 An Med Cir; Anales de medicina Cirugia
 An Med Espec; Anales de medicina Especialidades
 An Med Med; Anales de medicina Medicina
 An Microbiol Rio J; Anais de microbiologia
 An Otorrinolaringol Ibero Am; Anales otorrinolaringologicos ibero-americanos
 An Paul Med Cir; Anais paulistas de medicina e cirurgia
 An Programa Acad Med Lima; Anales del Programa Academico de Medicina
 An Real Acad Farm; Anales de la Real Academia de Farmacia
 An R Acad Nac Med Madr; Anales de la Real Academia Nacional de Medicina
 ANA Clin Sess; ANA clinical sessions
 ANA Publ; American Nurses Association Publications
 ANA Clin Conf; ANA clinical conferences
 Anaesth Intensive Care; Anaesthesia and intensive care
 Anaesth Resusc Intensive Ther; Anaesthesia resuscitation and intensive therapy
 Anaesthesia; Anaesthesia
 Anasthesiol Intensivmed Prax; Anasthesiologische und intensivmedizinische Praxis
 Anaesthesist; Der Anaesthesist
 Anal Biochem; Analytical biochemistry
 Anal Chem; Analytical chemistry
 Anal Chim Acta; Analytica chimica acta
 Analyst; The Analyst
 Anat Anz; Anatomischer Anzeiger
 Anat Histol Embryol; Anatomia histologia embryologia
 Anat Embryol Berl; Anatomy and embryology
 Anat Rec; The Anatomical record
 Anat Rec Suppl; The Anatomical record Supplement  an offical publication of the American Association of Anatomists
 Andrologia; Andrologia
 Andrologie; Andrologie
 ANEC; ANEC
 Anesth Analg; Anesthesia and analgesia
 Anesth Analg Paris; Anesthesie analgesie reanimation
 Anesth Prog; Anesthesia progress
 Anesthesiology; Anesthesiology
 Anesteziol Reanimatol; Anesteziologiia i reanimatologiia
 Angeiologie; Angeiologie
 Am J Infect Control; American journal of infection control
 Angew Chem Int Ed Engl; Angewandte Chemie International ed in English
 Angew Parasitol; Angewandte Parasitologie
 Angiologia; Angiologia
 Angiologica; Angiologica
 Angiology; Angiology
 Angle Orthod; The Angle orthodontist
 Anglo Ger Med Rev; Anglo-German medical review Deutsch-englische medizinische Rundschau
 Anim Behav; Animal behaviour
 Anim Blood Groups Biochem Genet; Animal blood groups and biochemical genetics
 Anim Genet; Animal genetics
 Ann Acad Med Stetin; Annales Academiae Medicae Stetinensis
 Ann Acad Sci Fenn Biol; Suomalainen Tiedeakatemia toimituksia Sar A4 Biologica
 Ann Acad Med Stetin Supl; Annales Academiae Medicae Stetinensis Suplement
 Ann Acad Sci Fenn A; Annales Academiae Scientiarum Fennicae Ser A5 Medica
 Ann Allergy; Annals of allergy
 Ann Anat Pathol Paris; Annales d'anatomie pathologique
 Ann Anesthesiol Fr; Annales de l'anesthesiologie francaise
 Ann Appl Biol; The Annals of applied biology
 Ann Aust Coll Dent Surg; Annals of the Australian College of Dental Surgeons
 Ann Emerg Med; Annals of emergency medicine
 Ann Biol Anim Biochim Biophys; Annales de biologie animale biochimie biophysique
 Ann Biol Clin Paris; Annales de biologie clinique
 Ann Fr Anesth Reanim; Annales francaises d'anesthesie et de reanimation
 Ann Biomed Eng; Annals of biomedical engineering
 Ann Cardiol Angeiol Paris; Annales de cardiologie et d'angeiologie
 Ann Chir; Annales de chirurgie
 Ann Chir Gynaecol Fenn; Annales chirurgiae et gynaecologiae Fenniae
 Ann Chir Infant; Annales de chirurgie infantile
 Ann Chir Gynaecol; Annales chirurgiae et gynaecologiae
 Ann Chir Gynaecol Suppl; Annales chirurgiae et gynaecologiae Supplementum
 Ann Chir Gynaecol Fenn Suppl; Annales chirurgiae et gynaecologiae Fenniae Supplementum
 Ann Chir Plast; Annales de chirurgie plastique
 Ann Chir Plast Esthet; Annales de chirurgie plastique et esthetique
 Ann Chir Thorac Cardiovasc; Annales de chirurgie thoracique et cardio-vasculaire
 Ann Am Acad Pol Soc Sci; The Annals of the American Academy of Political and Social Science
 Ann Clin Biochem; Annals of clinical biochemistry
 Ann Clin Lab Sci; Annals of clinical and laboratory science
 Ann Clin Res; Annals of clinical research
 Ann Acad Med Singapore; Annals of the Academy of Medicine Singapore
 Ann Dent; Annals of dentistry
 Ann Dermatol Syphiligr Paris; Annales de dermatologie et de syphiligraphie
 Ann Endocrinol Paris; Annales d'endocrinologie
 Ann Entomol Soc Am; Annals of the Entomological Society of America
 Ann Gastroenterol Hepatol Paris; Annales de gastroenterologie et d'hepatologie
 Ann Genet; Annales de genetique
 Ann Histochim; Annales d'histochimie
 Ann Hum Biol; Annals of human biology
 Ann Hum Genet; Annals of human genetics
 Ann Nutr Metab; Annals of nutrition & metabolism
 Ann Immunol Paris; Annales d'immunologie
 Ann Immunol Hung; Annales immunologiae Hungaricae
 Ann Inst Pasteur Paris; Annales de l'Institut Pasteur
 Ann Inst Pasteur Immunol 1985; Annales de l'Institut Pasteur Immunologie
 Ann Inst Pasteur Lille; Annales de l'Institut Pasteur de Lille
 Anticancer Res; Anticancer research
 Ann Inst Pasteur Microbiol 1985; Annales de l'Institut Pasteur Microbiologie
 Acta Odontol Pediatr; Acta de odontologia pediatrica
 Ann ICRP; Annals of the ICRP
 Ann Intern Med; Annals of internal medicine
 Ann Ist Carlo Forlanini; Annali dell'Istituto "Carlo Forlanini"
 Ann Ist Super Sanita; Annali dell'Istituto superiore di sanita
 Ann Ital Chir; Annali italiani di chirurgia
 Ann Laringol Otol Rinol Faringol; Annali di laringologia otologia rinologia faringologia
 Ann Med Exp Biol Fenn; Annales medicinae experimentalis et biologiae Fenniae
 Ann Med Intern Fenn; Annales medicinae internae Fenniae
 Ann Med Interne Paris; Annales de medecine interne
 Ann Med Leg Criminol Police Sci Toxicol; Annales de medecine legale criminologie police scientifique et toxicologie
 Ann Med Nancy; Annales medicales de Nancy
 Ann Med Nav Roma; Annali di medicina navale
 Ann Med Psychol Paris; Annales medico-psychologiques
 Ann Microbiol Paris; Annales de microbiologie
 Ann Nestle Fr; Annales Nestle Ed francaise
 Ann Nutr Aliment; Annales de la nutrition et de l'alimentation
 Ann N Y Acad Sci; Annals of the New York Academy of Sciences
 Ann Occup Hyg; The Annals of occupational hygiene
 Ann Ocul Paris; Annales d'oculistique
 Ann Odontostomatol Lyon; Annales odonto-stomatologiques
 Ann Ophthalmol; Annals of ophthalmology
 Ann Osp Maria Vittoria Torino; Annali dell'Ospedale Maria Vittoria di Torino
 Ann Ostet Ginecol Med Perinat; Annali di ostetricia ginecologia medicina perinatale
 Ann Otol Rhinol Laryngol; The Annals of otology rhinology and laryngology
 Ann Otol Rhinol Laryngol Suppl; The Annals of otology rhinology & laryngology Supplement
 Ann Otolaryngol Chir Cervicofac; Annales d'oto-laryngologie et de chirurgie cervico faciale  bulletin de la Societe d'oto-laryngologie des hopitaux de Paris
 Ann Ottalmol Clin Ocul; Annali di ottalmologia e clinica oculistica
 Ann Dermatol Venereol; Annales de dermatologie et de venereologie
 Ann Paediatr; Annales paediatrici International review of pediatrics
 Ann Paediatr Fenn; Annales paediatriae Fenniae
 Ann Parasitol Hum Comp; Annales de parasitologie humaine et comparee
 Ann Pediatr Paris; Annales de pediatrie
 Ann Pharm Fr; Annales pharmaceutiques francaises
 Ann Plast Surg; Annals of plastic surgery
 Ann Phys Med; Annals of physical medicine
 Ann R Coll Surg Engl; Annals of the Royal College of Surgeons of England
 Ann Radiol Paris; Annales de radiologie
 Annu Conf Res Med Educ; Annual Conference on Research in Medical Education Conference on Research in Medical Education
 Ann Radiol Diagn Bologna; Annali di radiologia diagnostica
 Proc Annu Conf Res Med Educ; Proceedings of the  annual Conference on Research in Medical Education Conference on Research in Medical Education
 Annu Rev Neurosci; Annual review of neuroscience
 Ann Rech Vet; Annales de recherches veterinaires Annals of veterinary research
 Arch Anat Cytol Pathol; Archives d'anatomie et de cytologie pathologiques
 Archit Rec; Architectural record
 ANNA J; ANNA journal
 Ann Rheum Dis; Annals of the rheumatic diseases
 Ann Sanita Pubblica; Annali della sanita pubblica
 Ann Sclavo; Annali Sclavo rivista di microbiologia e di immunologia
 Ann Soc Belg Med Trop; Annales de la Societe belge de medecine tropicale
 Ann Soc R Sci Med Nat Brux; Annales de la Societe royale des sciences medicales et naturelles de Bruxelles
 Ann Stomatol Roma; Annali di stomatologia
 Ann Surg; Annals of surgery
 Ann Chir Main; Annales de chirurgie de la main  organe officiel des societes de chirurgie de la main
 Ann Thorac Surg; The Annals of thoracic surgery
 Ann Trop Med Parasitol; Annals of tropical medicine and parasitology
 Ann Univ Mariae Curie Sklodowska Med; Annales Universitatis Mariae Curie-Sklodowska Sectio D Medicina
 Antibiot Khimioter; Antibiotiki i khimioterapiia = Antibiotics and chemoterapy sic
 Arch Androl; Archives of andrology
 Arch Belg; Archives belges = Belgisch archief
 Ann Univ Sarav Med; Annales Universitatis Saraviensis Medizin
 Ann Urol Paris; Annales d'urologie
 Ann Neurol; Annals of neurology
 Ann R Australas Coll Dent Surg; Annals of the Royal Australasian College of Dental Surgeons
 Ann Trop Paediatr; Annals of tropical paediatrics
 Annee Biol; L' Annee biologique
 Annee Endocrinol; L'Annee endocrinologique
 Annee Psychol; L'annee psychologique
 Annee Ther Clin Ophtalmol; L'Annee therapeutique et clinique en ophtalmologie
 Proc Annu Manage Conf Am Dent Assoc; Proceedings Annual Management Conference - American Dental Association
 Annu Rep Res Inst Environ Med Nagoya Univ; Annual report of the Research Institute of Environmental Medicine Nagoya University
 Annu Rev Biochem; Annual review of biochemistry
 Annu Rev Biophys Bioeng; Annual review of biophysics and bioengineering
 Annu Rev Entomol; Annual review of entomology
 Annu Rev Genet; Annual review of genetics
 Annu Rev Med; Annual review of medicine
 Annu Rev Microbiol; Annual review of microbiology
 Annu Rev Nucl Sci; Annual review of nuclear science
 Annu Rev Pharmacol; Annual review of pharmacology
 Annu Rev Pharmacol Toxicol; Annual review of pharmacology and toxicology
 Annu Rev Physiol; Annual review of physiology
 Annu Rev Rehabil; Annual review of rehabilitation
 ANS Adv Nurs Sci; ANS Advances in nursing science
 Annu Rev Psychol; Annual review of psychology
 Annu Symp Nurs Fac Pract; Annual Symposium on Nursing Faculty Practice
 ANPHI Pap; ANPHI papers
 Anthropol Anz; Anthropologischer Anzeiger Bericht uber die biologisch-anthropologische Literatur
 Antibiot Chemother 1971; Antibiotics and chemotherapy
 Quad Antibiot; Quaderni di antibiotica
 Antibiotica; Antibiotica
 Antibiotiki; Antibiotiki
 Antibiot Med Biotekhnol; Antibiotiki i meditsinskaia biotekhnologiia = Antibiotics and medical biotechnology
 Antimicrob Agents Chemother; Antimicrobial agents and chemotherapy
 Antioquia Med; Antioquia medica
 Antiviral Res; Antiviral research
 Antonie Van Leeuwenhoek; Antonie van Leeuwenhoek
 Anu Bras Odontol; Anuario Brasileiro De Odontologia
 AORN J; AORN journal
 Apex; Apex
 Apollonia Malmo; Apollonia
 Apollonia Sydney; Apollonia
 APIC; APIC
 Appetite; Appetite
 Appl Microbiol; Applied microbiology
 Appl Environ Microbiol; Applied and environmental microbiology
 Adm Radiol; Administrative radiology  AR
 Appl Biochem Biotechnol; Applied biochemistry and biotechnology
 Appl Neurophysiol; Applied neurophysiology
 Appl Res Ment Retard; Applied research in mental retardation
 Appl Ther; Applied therapeutics
 Aptechn Delo; Aptechnoe delo
 Arb Paul Ehrlich Inst Georg Speyer Haus Ferdinand Blum Inst Frankf A M; Arbeiten aus dem Paul-Ehrlich-Institut dem Georg-Speyer-Haus und dem Ferdinand-Blum-Institut zu Frankfurt aM
 Appl Nurs Res; Applied nursing research  ANR
 Arch Anat Histol Embryol; Archives d'anatomie d'histologie et d'embryologie normales et experimentales
 Arch Anat Microsc Morphol Exp; Archives d'anatomie microscopique et de morphologie experimentale
 Arch Anat Pathol Paris; Archives d'anatomie pathologique
 Arch Argent Dermatol; Archivos argentinos de dermatologia
 Arch Argent Pediatr; Archivos argentinos de pediatria
 Fortschr Geb Rontgenstrahlen Nuklearmed Erganzungsbd; Fortschritte auf dem Gebiete der Rontgenstrahlen und der Nuklearmedizin Erganzungsband
 Arch Belg Dermatol; Archives belges de dermatologie
 Arch Belg Dermatol Syphiligr; Archives belges de dermatologie et de syphiligraphie
 Arch Belg Med Soc; Archives belges de medecine sociale hygiene medecine du travail et medecine legale Belgisch archief van sociale geneeskunde hygiene arbeidsgeneeskunde en gerechtelijke geneeskunde
 Arch Biochem Biophys; Archives of biochemistry and biophysics
 Arch Biol Liege; Archives de biologie
 Gan To Kagaku Ryoho; Gan to kagaku ryoho Cancer & chemotherapy
 Arch Biol Med Exp Santiago; Archivos de biologia y medicina experimentales
 Arch Chir Neerl; Archivum chirurgicum Neerlandicum
 Arch Chir Torac Cardiovasc; Archivio di chirurgia toracica e cardiovascolare
 Arch Col Med El Salv; Archivos del Colegio Medico de El Salvador
 Arch De Vecchi Anat Patol; Archivio "de Vecchi" per l'anatomia patologica e la medicina clinica
 ARN J; ARN journal  the official journal of the Association of Rehabilitation Nurses
 Arch Dermatol; Archives of dermatology
 Arch Dermatol Forsch; Archiv fur dermatologische Forschung
 Arch Dermatol Res; Archives of dermatological research
 Arch Dis Child; Archives of disease in childhood
 Arch Maragliano Patol Clin; Archivio "E Maragliano" di patologia e clinica
 Arch Enferm Coraz Vasos; Archivos de enfermedades del corazon y vasos
 Arch Environ Contam Toxicol; Archives of environmental contamination and toxicology
 Arch Environ Health; Archives of environmental health
 Arch Gynecol; Archives of gynecology
 Arch Psychiatr Nurs; Archives of psychiatric nursing
 Arch Gynecol Obstet; Archives of gynecology and obstetrics
 Arch Esp Morfol; Archivo espanol de morfologia
 Arch Farmacol Toxicol; Archivos de farmacologia y toxicologia
 Arch Esp Urol; Archivos espanoles de urologia
 Arch Exp Veterinarmed; Archiv fur experimentelle Veterinarmedizin
 Arch Fisiol; Archivio di fisiologia
 Arch Fr Mal App Dig; Archives francaises des maladies de l'appareil digestif
 Arch Fr Pediatr; Archives francaises de pediatrie
 Arch Fund Roux Ocefa; Archivos de la Fundacion Roux-Ocefa
 Arch Gen Psychiatry; Archives of general psychiatry
 Arch Genet Zur; Archiv fur Genetik
 Arch Gesamte Psychol; Archiv fur die gesamte Psychologie
 Arch Gesamte Virusforsch; Archiv fur die gesamte Virusforschung
 Arch Geschwulstforsch; Archiv fur Geschwulstforschung
 Arch Gynakol; Archiv fur Gynakologie
 Arch Hist Med Warsz; Archiwum historii medycyny
 Arch Histol Norm Patol; Archivos de histologia normal y patologica
 Arch Hist Filoz Med; Archiwum historii i filozofii medycyny
 Arch Histol Jpn; Archivum histologicum Japonicum = Nihon soshikigaku kiroku
 Arch Hyg Bakteriol; Archiv fur Hygiene und Bakteriologie
 Arch Immunol Ther Exp Warsz; Archivum immunologiae et therapiae experimentalis
 Arch Biol Andina; Archivos de biologia andina
 Arch Inst Biol Andina; Archivos del Instituto de Biologia Andina
 Arch Pathol Lab Med; Archives of pathology & laboratory medicine
 Arch Inst Cardiol Mex; Archivos del Instituto de Cardiologia de Mexico
 Arch Inst Farmacol Exp Madr; Archivos del Instituto de Farmacologia Experimental Medicina
